,games,name,country,continent,rank,time,reaction,dry ,wet,or_yes,or_no,wr_yes,wr_no
0,1992,Quincy Watts ,USA,NORTH AMERICA,1,43.50,0.258,1,0,1,0,1,0
1,1992,Steve Lewis,USA ,NORTH AMERICA,2,44.21,0.219,1,0,0,1,0,1
2,1992,Samson Kitur,KEN,AFRICA,3,44.24,0.269,1,0,0,1,0,1
3,1992,Ian Morris ,TTO,SOUTH AMERICA,4,44.25,0.241,1,0,0,1,0,1
4,1992,Roberto Hernandez Prendes,CUB,AMERICA,5,44.52,0.372,1,0,0,1,0,1
5,1992,David Allan Grindley ,GBR,EUROPE,6,44.75,0.284,1,0,0,1,0,1
6,1992,Ibrahim Ismail Muftah,QAT,ASIA,7,45.10,0.355,1,0,0,1,0,1
7,1992,Susumu Takano,JPN,ASIA,8,45.18,0.350,1,0,0,1,0,1
8,1996,Michael Johnson,USA,NORTH AMERICA,1,43.49,0.254,1,0,1,0,1,0
9,1996,Roger Black,GBR,EUROPE,2,44.41,0.205,1,0,0,1,0,1
10,1996,Davis Kamoga,UGA,AFRICA,3,44.53,0.264,1,0,0,1,0,1
11,1996,Alvin Harrison,USA,NORTH AMERICA,4,44.62,0.237,1,0,0,1,0,1
12,1996,Iwan Thomas,GBR,EUROPE,5,44.70,0.365,1,0,0,1,0,1
13,1996,Roxbert Martin,JAM,NORTH AMERICA,6,44.83,0.283,1,0,0,1,0,1
14,1996,Davian Clarke,JAM,NORTH AMERICA,7,44.99,0.348,1,0,0,1,0,1
15,2000,Michael Johnson,USA,NORTH AMERICA,1,43.84,0.610,1,0,0,1,0,1
16,2000,Alvin Harrison,USA,NORTH AMERICA,2,44.40,0.490,1,0,0,1,0,1
17,2000,Greg Haughton,JAM,NORTH AMERICA,3,44.70,0.346,1,0,0,1,0,1
18,2000,Sanderlei Parrela,BRA,SOUTH AMERICA,4,45.01,0.280,1,0,0,1,0,1
19,2000,Robert Mackowiak,POL,EUROPE,5,45.14,0.232,1,0,0,1,0,1
20,2000,Hendrick Mokganyetsi,RSA,AFRICA,6,45.26,0.442,1,0,0,1,0,1
21,2000,Danny Mcfarlane,JAM,NORTH AMERICA,7,45.55,0.332,1,0,0,1,0,1
22,2004,Jeremy Wariner,USA,NORTH AMERICA,1,44.00,0.268,1,0,0,1,0,1
23,2004,Otis Harris,USA,NORTH AMERICA,2,44.16,0.259,1,0,0,1,0,1
24,2004,Derrick Brew,USA,NORTH AMERICA,3,44.42,0.262,1,0,0,1,0,1
25,2004,Alleyne Francique,GRN,NORTH AMERICA,4,44.66,0.352,1,0,0,1,0,1
26,2004,Brandon Simpson,JAM,NORTH AMERICA,5,44.76,0.277,1,0,0,1,0,1
